Index,Plate Appearance (season),Date,Hands on Swing,Handedness,Outcome,EV,LA,Air/Ground,Outcome Direction,Pitch Location,Pitch Velo,2 strikes,,,
393,198,7/23/23,2,L,F8,100.7,20,A,8,2,93,n,,,
394,199,7/23/23,2,L,Foul,73.9,24,,,1,89,n,,,
395,199,7/23/23,1,L,Foul,85.3,28,,,6,81,y,,,
396,199,7/23/23,1,L,Foul,66.1,56,,,5,87,y,,,
397,199,7/23/23,2,L,Foul,89,70,,,2,93,y,,,
398,199,7/23/23,1,L,Foul,84.4,44,,,13,93,y,,,
399,199,7/23/23,2,L,K,,,,,5,87,y,,,
400,200,7/23/23,2,L,Foul,81.8,67,,,4,94,n,,,
401,200,7/23/23,1,L,Single,84.1,21,,9,5,82,y,,,
402,201,7/23/23,1,L,Single,94.9,13,,8,7,91,n,,,
403,202,7/24/23,1,L,Miss,,,,,13,83,n,,,
404,202,7/24/23,2,L,F8,99.8,20,A,8,5,95,n,,,
405,203,7/24/23,2,L,F8,97.8,32,A,8,8,76,n,,,
406,204,7/24/23,2,L,P5,77.2,67,A,5,7,74,n,,,
407,205,7/24/23,1,L,Miss,,,,,6,84,n,,,
408,205,7/24/23,1,L,Miss,,,,,9,85,n,,,
409,205,7/24/23,1,L,3-Jun,89.3,-21,G,6,13,85,y,,,
410,206,7/24/23,1,L,Foul,88.7,-25,,,12,95,n,,,
411,206,7/24/23,1,L,3U,78,-30,G,3,14,88,y,,,
412,207,7/25/23,2,L,Single,88.4,18,,7,7,89,n,,,
413,208,7/26/23,1,L,Foul,87.3,74,,,8,93,n,,,
414,209,7/26/23,Check,R,Miss,,,,,13,87,n,,,
415,209,7/26/23,2,R,Foul,61.1,21,,,5,89,y,,,
416,209,7/26/23,2,R,3-Apr,96,2,G,4,10,94,y,,,
417,210,7/27/23,2,R,Foul,89.9,-16,,,9,89,n,,,
418,210,7/27/23,2,R,Single ,92.3,3,,8,5,89,n,,,
419,211,7/27/23,2,R,F8,99,48,A,8,5,83,n,,,
420,212,7/27/23,2,L,Foul,84.9,63,,,2,98,n,,,
421,212,7/27/23,1,L,Foul,83,-36,,,7,100,y,,,
422,212,7/27/23,1,L,K,,,,,11,99,y,,,
423,213,7/27/23,1,L,Foul,,,,,14,95,n,,,
424,213,7/27/23,2,L,Foul,78.5,53,,,9,93,n,,,
425,213,7/27/23,2,L,P6,82.2,59,A,6,10,94,y,,,
426,214,7/29/23,2,L,Foul,79.8,58,,,2,93,n,,,
427,214,7/29/23,1,L,3-Apr,92.2,3,G,4,2,89,n,,,
428,215,7/29/23,2,L,Foul,73.7,58,,,5,81,n,,,
429,215,7/29/23,1,L,K,,,,,8,88,y,,,
430,216,7/29/23,Check,L,Miss,,,,,14,84,n,,,
431,216,7/29/23,2,L,F8,87.1,34,A,8,5,83,n,,,
432,217,7/29/23,2,L,Foul,89.6,76,,,5,97,n,,,
433,217,7/29/23,2,L,P6,101.9,74,A,6,5,98,n,,,
434,218,8/1/23,1,L,1-Mar,80.1,-41,G,3,13,87,y,,,
435,219,8/1/23,1,L,Foul,74.6,48,,,6,87,n,,,
436,219,8/1/23,2,L,Foul,,,,,5,82,n,,,
437,219,8/1/23,Check,L,Foul,46.6,-36,,,10,94,y,,,
438,219,8/1/23,1,L,Foul,74.3,63,,,4,88,y,,,
439,219,8/1/23,2,L,Foul,67.2,36,,,5,84,y,,,
440,219,8/1/23,1,L,F9,100.1,19,A,9,12,88,y,,,
441,220,8/1/23,1,L,3-Apr,62.1,4,G,4,7,86,n,,,
442,221,8/2/23,2,R,F9,95.2,47,A,9,1,93,n,,,
443,222,8/3/23,2,L,Double,96.1,23,,9,5,80,n,,,
444,223,8/3/23,2,L,3-Apr,97.7,-5,G,4,5,94,n,,,
445,224,8/3/23,1,L,3-Apr,93.1,-10,G,4,1,93,n,,,
446,225,8/3/23,1,L,3-Jun,79.7,5,G,6,13,99,n,,,
447,226,8/5/23,2,R,F7,99.2,47,A,7,6,89,n,,,
448,227,8/5/23,2,R,Foul,76.2,8,,,10,89,n,,,
449,227,8/5/23,2,R,Foul,75.5,63,,,6,89,n,,,
450,227,8/5/23,2,R,F9,82.2,43,A,9,5,79,y,,,
451,228,8/5/23,2,L,Foul,,,,,6,90,n,,,
452,228,8/5/23,1,L,Miss,,,,,13,89,n,,,
453,229,8/5/23,2,L,Foul,69,57,,,5,81,n,,,
454,229,8/5/23,2,L,Foul,78.6,22,,,3,94,y,,,
455,229,8/5/23,1,L,P5,76.1,60,A,5,1,85,y,,,
456,230,8/6/23,2,R,Double,94.9,12,,9,5,91,n,,,
457,231,8/6/23,2,R,Foul,66.3,54,,,11,92,y,,,
458,231,8/6/23,2,R,P4,73.4,60,A,4,6,78,y,,,
459,232,8/6/23,2,R,F9,97.9,50,A,9,8,90,n,,,
460,233,8/6/23,2,R,Foul,71.4,37,,,3,85,n,,,
461,233,8/6/23,2,R,3-Jun,105.4,-2,G,6,5,87,n,,,
462,234,8/8/23,2,L,Foul,79,60,,,5,88,n,,,
463,234,8/8/23,1,L,Miss,,,,,7,80,n,,,
464,234,8/8/23,1,L,K,,,,,4,89,y,,,
465,235,8/8/23,2,L,Foul,99.6,1,,,4,88,n,,,
466,235,8/8/23,2,L,Foul,76.1,55,,,3,94,n,,,
467,235,8/8/23,1,L,Foul,64.8,-35,,,13,82,y,,,
468,235,8/8/23,1,L,F9,81.9,34,A,9,12,94,y,,,
469,236,8/8/23,2,L,P5,80.8,76,A,5,1,90,n,,,
470,237,8/9/23,2,R,Miss,,,,,6,89,n,,,
471,237,8/9/23,Check,R,Foul,,,,,10,95,y,,,
472,238,8/9/23,2,L,Foul,75,52,,,5,91,n,,,
473,239,8/9/23,2,L,Miss,,,,,5,95,n,,,
474,239,8/9/23,2,L,Foul,77.1,24,,,10,95,y,,,
475,239,8/9/23,1,L,Foul,57.2,-20,,,12,91,y,,,
476,239,8/9/23,2,L,F7,89.7,59,A,7,3,95,y,,,
477,240,8/9/23,2,R,Foul,69.2,30,,,3,93,n,,,
478,240,8/9/23,2,R,Foul,72.5,48,,,3,92,y,,,
479,240,8/9/23,2,R,Foul,68.6,65,,,8,85,y,,,
480,240,8/9/23,2,R,3-Jun,88.1,4,G,6,12,85,y,,,
